Player Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,,,
Rank,Name,Team,POS,G,Season,SCHEME,RTE,RTE %,aDOT,AY,AY Share,TGT,TGT/G,TGT %,TPRR,REC,CR %,YDS,RecYDS/G,TM YDS %,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,TM TD %,i20 TGT,EZTGT,EZTD,DP TGT,1READ,1READ %,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,THREAT,YPTOE,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP/RR,FP/G,FP,XFP,XFP/G,XFP/RR,RecXFP
15,Nick Westbrook-Ikhine,MIA,WR,7,2025,Cover 3,41,52.6,4,20,3.2,5,0.7,6.8,0.12,4,80,27,3.9,6,0.66,5.4,6.75,11,2.75,6,1.5,0,0,0,0,0,0,3,6.5,1,0.25,3,0.073,0,,4,80,1,20,0,0,0,0,89.2,12.5,-0.9,51.2,48.8,,,0.16,1,6.7,7.6,1.1,0.19,7.6
16,Tyreek Hill,MIA,WR,4,2025,Cover 2 Man,10,100,9.5,38,61.3,4,1,40,0.4,3,75,20,5,22,2,5,6.67,0,,,,0,0,0,0,0,0,4,44.4,0,,2,0.2,0,,3,75,0,,0,0,0,0,85.4,40,-2.9,70,30,,,0.5,1.3,5,6.3,1.6,0.63,6.3
17,Malik Washington,MIA,WR,7,2025,Cover 1,16,72.7,2.5,10,10.4,4,0.6,21.1,0.25,3,75,17,2.4,17.9,1.06,4.25,5.67,11,3.67,6,2,0,0,1,0,0,0,4,26.7,1,0.33,1,0.063,0,,3,75,1,25,0,0,0,0,82.3,30.8,-1.9,43.8,56.3,,,0.29,0.7,4.7,6.9,1,0.43,6.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Full name of the player or team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Team(s) played for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,Player Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEME,Coverage Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Routes Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE %,Routes Run per Team Dropback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
