Team Details,,,,,,Splits,Passing,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,G,Season,Location,Team Name,SCHEME,DB,ATT,CMP,CMP %,YDS,YDS/G,YPA,TD,INT,1D,RATE,SACK,SACK %,SK YDS,ANY/A,CPOE,aDOT,AY,Deep Throw %,Deep Throw,YAC %,ADJ CMP %,1Read %,ACC %,CATCH %,OFF %,HERO %,TWT %,EZATT,DROP %,DROP YDS,TTT,TTP,TTSK,TTSC,QB SK,AVOID SK,QBP,PRESS %,PrROE,CHK %,RPO %,TA,BAT,SPK
aDOT,Average Depth of Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY,Passing - Yards - Air - Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Throw %,Deep throw attempt percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Throw,Pass Attempts that travel 20+ yards in the air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAC %,Percentage of Passing Yards that come after the catch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADJ CMP %,"Completion Percentage Adjusted for drops, spikes, throw aways, hit as thrown, and batted passes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Read %,Percentage of Throws to the QB's 1st Read or Designed Throws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC %,"Highly Accurate Throw Percentage where the QB hits the receiver in stride, throws the ball away from coverage, or hits the receiver in the numbers when the receiver is standing still",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATCH %,Catchable Throw Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFF %,Off Target Throw Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERO %,Percent of attempts QB makes an extraordinary throw that maximizes the result of the play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWT %,Turnover Worthy Throw Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZATT,Passing attempts into the endzone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP %,Percentage of Throws that are dropped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
