Player Details,,,,,,Splits,Receiving,,,,,,,,,,,,,,,,,,,,,,,Advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,FPTS,,,,,,
Rank,Name,Team,POS,G,Season,SCHEME,RTE,RTE %,aDOT,AY,AY Share,TGT,TGT/G,TGT %,TPRR,REC,CR %,YDS,RecYDS/G,TM YDS %,YPRR,YPT,YPR,YAC,YAC/REC,YACO,YACO/REC,TD,TM TD %,i20 TGT,EZTGT,EZTD,DP TGT,1READ,1READ %,MTF,MTF/REC,1D,1D/RR,DRP,DRP %,CTGT,CTGT %,DESIGN,DESIGN %,CT,CC,CC %,HERO,RATE,THREAT,YPTOE,WIDE RTE %,SLOT RTE %,INLINE RTE %,BACK RTE %,FP/RR,FP/G,FP,XFP,XFP/G,XFP/RR,RecXFP
14,Casey Washington,ATL,WR,4,2025,Cover 1,18,66.7,19.5,78,29.2,4,1,16.7,0.22,1,25,19,4.8,9.9,1.06,4.75,19,4,4,2,2,0,0,0,0,0,1,3,17.6,0,,1,0.056,0,,1,25,0,,0,0,0,0,46.9,28.6,-5.9,72.2,27.8,,,0.16,0.7,2.9,6.8,1.7,0.38,6.8
15,Ray-Ray McCloud,ATL,WR,4,2025,Cover 2,10,43.5,6.5,26,20.3,4,1,17.4,0.4,2,50,21,5.3,10.5,2.1,5.25,10.5,13,6.5,7,3.5,0,0,0,0,0,0,2,14.3,1,0.5,1,0.1,1,25,3,75,0,,0,0,0,0,65.6,40,-1.8,50,50,,,0.41,1,4.1,6.4,1.6,0.64,6.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,"Rank, Most to Least",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Full name of the player or team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team,Team(s) played for,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS,Player Position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Games Played,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHEME,Coverage Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTE,Routes Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
